GEN_TsB;INV_S;PFC_Ia;PFC_Ib;PFC_Ic;PFC_VBus;InjectorDuty;T13;T2;w9;T91;T41_44_avg
381,7;305,9;8,8;9,2;9,2;731,1;0,4;319,0;335,2;138022;404,5;1115,1
381,5;306,6;8,3;8,6;8,6;720,6;0,5;319,0;335,2;138345;404,5;1115,1
381,5;306,7;8,3;8,6;8,4;716,0;0,5;319,0;335,2;140179;404,7;1115,1
381,5;303,9;12,4;11,6;12,3;713,3;0,5;319,0;335,2;140676;405,0;1115,1
381,7;304,1;13,8;13,5;13,2;697,6;0,5;319,0;335,2;139893;405,1;1115,1
381,7;304,5;12,4;13,3;12,4;668,0;0,5;319,0;335,2;138834;405,0;1115,0
381,7;306,6;8,1;8,2;8,2;712,3;0,5;319,0;335,2;138277;405,0;1115,0
381,6;306,7;8,7;9,1;9,2;735,1;0,5;319,0;335,1;140127;405,0;1115,0
381,7;304,1;9,2;8,8;10,3;737,9;0,5;319,0;335,1;142119;405,0;1115,0
381,5;307,5;6,5;5,6;5,6;679,8;0,5;319,0;335,2;138304;405,0;1115,1
381,6;306,1;8,3;8,6;8,5;723,4;0,4;319,0;335,2;140063;404,6;1115,0
381,5;303,8;9,3;8,8;10,3;733,7;0,5;319,0;335,1;142200;404,5;1115,0
381,6;307,3;6,3;5,7;5,8;668,0;0,5;319,0;335,1;138387;404,6;1115,0
381,6;306,7;8,3;8,6;8,6;722,4;0,4;319,1;335,2;139709;404,8;1115,0
381,6;305,0;9,1;8,7;10,3;736,8;0,5;319,1;335,1;142029;404,8;1115,0
381,6;306,5;7,1;6,8;6,9;665,0;0,5;319,1;335,1;139291;404,8;1115,1
381,4;307,3;8,5;8,6;8,5;711,2;0,4;319,1;335,1;138432;404,5;1115,1
381,7;305,8;8,6;8,8;8,8;728,0;0,5;319,0;335,2;140082;404,5;1115,1
381,6;304,9;13,4;13,9;13,2;671,4;0,5;319,0;335,2;142296;404,3;1115,0
381,7;306,9;6,0;5,3;5,2;675,8;0,5;319,0;335,3;139011;404,3;1115,1
381,7;307,3;8,4;8,4;8,3;707,5;0,4;319,0;335,3;140216;404,2;1115,1
381,5;304,3;12,9;12,5;12,5;707,5;0,5;319,0;335,2;140242;404,3;1115,1
381,7;304,0;13,3;13,9;13,3;667,7;0,5;319,0;335,2;140651;404,4;1115,1
381,7;305,5;10,7;11,2;10,8;662,8;0,5;319,1;335,2;138127;404,4;1115,1
381,6;307,1;8,5;8,7;8,6;721,8;0,5;319,1;335,2;138674;404,4;1115,1
381,6;306,2;8,8;9,4;9,6;738,1;0,5;319,1;335,2;140140;404,3;1115,0
381,7;304,0;9,3;8,9;10,3;735,8;0,5;319,1;335,2;142151;404,3;1115,0
381,6;307,3;6,2;5,4;5,4;677,3;0,5;319,1;335,2;138243;404,4;1115,0
381,6;306,2;8,3;8,5;8,3;714,3;0,4;319,1;335,2;139762;404,4;1115,0
381,6;304,8;9,0;8,9;10,3;738,7;0,5;319,1;335,3;142233;404,4;1115,1
381,6;306,6;6,1;5,2;5,2;673,8;0,5;319,1;335,3;138880;404,5;1115,1
381,6;307,3;8,2;8,2;8,2;708,3;0,4;319,1;335,1;138921;404,4;1115,1
381,6;305,7;8,8;9,2;9,6;737,9;0,5;319,1;335,2;140145;404,7;1115,1
381,6;305,6;12,3;12,9;12,3;666,7;0,5;319,1;335,2;141608;404,6;1115,2
381,6;307,3;6,8;6,0;5,8;682,7;0,5;319,1;335,2;138322;404,5;1115,2
381,6;305,8;8,5;9,0;9,0;733,6;0,4;319,0;335,2;140104;404,7;1115,2
381,6;305,1;12,9;13,6;12,8;672,0;0,5;319,1;335,2;142010;404,3;1115,2
381,7;307,1;7,0;6,2;6,1;684,6;0,5;319,1;335,2;138235;404,3;1115,2
381,6;305,6;8,4;8,7;8,6;726,9;0,4;319,1;335,2;140051;404,4;1115,2
381,7;304,3;12,3;12,8;12,2;666,4;0,5;319,1;335,2;142114;404,2;1115,2
381,7;306,8;6,1;5,7;5,7;667,8;0,5;319,1;335,2;138701;404,2;1115,2
381,7;306,6;8,5;8,6;8,5;711,9;0,4;319,1;335,2;140213;404,2;1115,2
381,7;303,7;13,2;12,9;12,6;703,7;0,5;319,0;335,2;140259;404,7;1115,3
381,7;303,9;14,3;14,3;13,8;687,8;0,5;319,1;335,2;140711;404,1;1115,3
381,7;305,5;9,9;9,8;10,0;663,2;0,5;319,1;335,3;138220;404,1;1115,3
381,6;306,0;8,4;8,8;8,8;727,5;0,5;319,1;335,3;139389;404,1;1115,3
381,7;305,8;8,9;9,3;9,4;737,3;0,5;319,1;335,2;140233;404,1;1115,3
381,7;303,9;12,1;11,3;11,9;715,0;0,5;319,1;335,2;140915;404,0;1115,3
381,7;307,1;7,8;7,6;7,4;695,5;0,5;319,1;335,2;138218;404,1;1115,3
381,7;305,8;8,4;8,8;8,7;726,6;0,4;319,1;335,2;140134;404,2;1115,3
381,7;304,2;10,0;9,2;10,8;731,4;0,5;319,0;335,2;142162;403,9;1115,4
381,6;307,6;5,9;5,3;5,4;670,6;0,5;319,0;335,2;138245;403,7;1115,4
381,7;306,3;8,5;8,9;8,9;727,9;0,4;319,1;335,3;139954;403,7;1115,4
381,7;304,5;9,6;9,1;10,5;733,2;0,5;319,1;335,3;142196;403,6;1115,3
381,8;306,6;6,7;6,4;6,5;666,1;0,5;319,1;335,2;139278;403,6;1115,4
381,6;307,0;8,2;8,4;8,3;711,6;0,4;319,1;335,2;138268;403,7;1115,5
381,8;305,9;8,6;8,9;8,9;725,9;0,5;319,0;335,2;140257;403,7;1115,5
381,7;304,1;14,4;14,8;14,1;675,0;0,5;319,0;335,2;142039;403,8;1115,5
381,7;306,2;6,0;5,4;5,4;669,4;0,5;319,1;335,2;139790;403,8;1115,6
381,7;307,2;7,7;7,4;7,3;694,8;0,4;319,1;335,2;140090;404,0;1115,6
381,6;304,1;11,1;10,2;11,4;720,7;0,5;319,1;335,2;140548;403,8;1115,6
381,8;303,9;14,4;14,6;13,9;687,7;0,5;319,0;335,2;140397;403,9;1115,6
381,8;303,4;14,5;14,5;13,9;689,4;0,5;319,0;335,2;141772;403,9;1115,5
381,8;306,4;6,0;5,4;5,4;672,7;0,5;319,1;335,2;141926;404,0;1115,6
381,7;305,9;6,3;5,5;5,6;671,8;0,4;319,1;335,2;141170;404,0;1115,6
381,7;305,3;9,1;9,5;9,3;662,9;0,4;319,1;335,2;141843;404,0;1115,6
381,7;305,1;7,3;7,2;7,3;665,1;0,4;319,1;335,2;140326;404,0;1115,6
381,7;304,5;11,9;11,0;11,8;715,9;0,4;319,1;335,2;138373;404,2;1115,7
381,6;306,4;7,9;7,5;7,2;694,6;0,5;319,1;335,2;141438;404,0;1115,7
381,8;306,0;6,3;5,4;5,5;676,4;0,5;319,1;335,2;139849;404,0;1115,7
381,7;304,7;10,6;9,7;11,1;729,4;0,4;319,2;335,2;141700;404,0;1115,6
381,7;304,8;7,2;6,8;6,9;666,4;0,5;319,2;335,2;139887;403,9;1115,7
381,8;304,5;14,6;15,2;13,9;678,9;0,4;319,1;335,3;140947;404,0;1115,7
381,8;305,4;6,4;5,7;5,8;670,8;0,5;319,1;335,3;137416;403,6;1115,7
381,8;305,6;9,0;9,4;9,2;725,1;0,4;319,1;335,2;140338;403,4;1115,7
381,8;304,9;14,0;14,8;13,6;671,3;0,5;319,1;335,2;139870;403,7;1115,8
381,8;305,7;6,8;6,0;6,0;683,0;0,5;319,1;335,2;138022;403,5;1115,8
381,8;306,2;8,8;9,1;9,0;723,7;0,5;319,1;335,2;141753;403,4;1115,8
381,7;304,8;8,5;8,5;8,5;663,7;0,5;319,2;335,2;137818;403,5;1115,8
381,8;306,0;8,0;7,8;7,6;699,7;0,4;319,2;335,2;139389;403,6;1115,8
381,9;306,1;9,6;9,9;10,7;739,3;0,5;319,1;335,3;140509;403,5;1115,7
381,7;305,3;6,4;5,7;5,8;671,5;0,5;319,1;335,3;138939;403,7;1115,7
381,7;305,9;9,6;10,0;10,3;738,5;0,5;319,1;335,2;139839;403,9;1115,7
381,8;305,1;14,3;14,2;13,5;695,8;0,5;319,1;335,2;139049;403,8;1115,7
381,7;305,5;9,6;9,9;10,5;738,8;0,5;319,1;335,2;139688;403,8;1115,7
381,8;304,2;14,7;15,1;14,1;681,7;0,5;319,2;335,2;138959;403,9;1115,7
381,8;306,0;8,1;7,8;7,6;699,3;0,5;319,1;335,2;140957;403,8;1115,7
381,9;305,0;10,9;11,3;11,1;663,5;0,5;319,1;335,2;137499;404,1;1115,7
